gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,ahrs_x,ahrs_y,ahrs_z,ahrs_w,datetime,gesture
-0.00659999996424,0.01539999991655,-0.06764999777079,9.53595066070557,0.63705003261566,-1.64805006980896,25.7250003814697,-22.8000011444092,-50.5687522888184,-0.38693767786026,0.74965387582779,-0.48744931817055,0.22514766454697,2026-02-25 22:02:39.034,false
-0.00659999996424,0.01539999991655,-0.06764999777079,9.53595066070557,0.63705003261566,-1.64805006980896,25.7437515258789,-22.7625007629395,-50.5687522888184,-0.38744071125984,0.74933898448944,-0.48779574036598,0.22457982599735,2026-02-25 22:02:39.056,false
-0.06311249732971,0.11659999936819,-0.07851249724627,9.61995029449463,0.83100003004074,-1.6189501285553,25.7437515258789,-22.7625007629395,-50.5687522888184,-0.38770565390587,0.74940776824951,-0.48813307285309,0.22315566241741,2026-02-25 22:02:39.067,false
-0.06311249732971,0.11659999936819,-0.07851249724627,9.61995029449463,0.83100003004074,-1.6189501285553,25.7437515258789,-22.7250003814697,-50.5875015258789,-0.38796883821487,0.74947518110275,-0.48846918344498,0.22173164784908,2026-02-25 22:02:39.090,false
-0.06311249732971,0.11659999936819,-0.07851249724627,9.61995029449463,0.83100003004074,-1.6189501285553,25.7437515258789,-22.6875,-50.5687522888184,-0.3882303237915,0.74954128265381,-0.48880407214165,0.22030776739121,2026-02-25 22:02:39.101,false
-0.07479999959469,0.10615000128746,-0.00563749996945,9.57195091247559,0.77205002307892,-1.93995010852814,25.7437515258789,-22.6875,-50.5687522888184,-0.38809046149254,0.74987381696701,-0.48890227079392,0.2192018032074,2026-02-25 22:02:39.112,false
-0.08621250092983,0.06489999592304,0.05238749831915,9.64305019378662,0.83400005102158,-1.88700008392334,25.7437515258789,-22.6312503814697,-50.5500030517578,-0.38777810335159,0.75036382675171,-0.4886879324913,0.21855489909649,2026-02-25 22:02:39.145,false
-0.08621250092983,0.06489999592304,0.05238749831915,9.64305019378662,0.83400005102158,-1.88700008392334,25.7437515258789,-22.6125011444092,-50.5125007629395,-0.38746556639671,0.75085294246674,-0.48847341537476,0.21790824830532,2026-02-25 22:02:39.157,false
-0.08621250092983,0.06489999592304,0.05238749831915,9.64305019378662,0.83400005102158,-1.88700008392334,25.7437515258789,-22.6125011444092,-50.5125007629395,-0.38715273141861,0.75134110450745,-0.48825871944428,0.21726180613041,2026-02-25 22:02:39.168,false
-0.08621250092983,0.06489999592304,0.05238749831915,9.64305019378662,0.83400005102158,-1.88700008392334,25.7250003814697,-22.5750007629395,-50.4937515258789,-0.3868396282196,0.75182831287384,-0.48804381489754,0.21661572158337,2026-02-25 22:02:39.178,false
