gyro_x_0,gyro_y_0,gyro_z_0,acc_x_0,acc_y_0,acc_z_0,gyro_x_1,gyro_y_1,gyro_z_1,acc_x_1,acc_y_1,acc_z_1,gyro_x_2,gyro_y_2,gyro_z_2,acc_x_2,acc_y_2,acc_z_2,gyro_x_3,gyro_y_3,gyro_z_3,acc_x_3,acc_y_3,acc_z_3,gyro_x_4,gyro_y_4,gyro_z_4,acc_x_4,acc_y_4,acc_z_4,gyro_x_5,gyro_y_5,gyro_z_5,acc_x_5,acc_y_5,acc_z_5,gyro_x_6,gyro_y_6,gyro_z_6,acc_x_6,acc_y_6,acc_z_6,gyro_x_7,gyro_y_7,gyro_z_7,acc_x_7,acc_y_7,acc_z_7,gyro_x_8,gyro_y_8,gyro_z_8,acc_x_8,acc_y_8,acc_z_8,gyro_x_9,gyro_y_9,gyro_z_9,acc_x_9,acc_y_9,acc_z_9,gyro_x_10,gyro_y_10,gyro_z_10,acc_x_10,acc_y_10,acc_z_10,gyro_x_11,gyro_y_11,gyro_z_11,acc_x_11,acc_y_11,acc_z_11,gyro_x_12,gyro_y_12,gyro_z_12,acc_x_12,acc_y_12,acc_z_12,gyro_x_13,gyro_y_13,gyro_z_13,acc_x_13,acc_y_13,acc_z_13,gyro_x_14,gyro_y_14,gyro_z_14,acc_x_14,acc_y_14,acc_z_14,motion_type
-0.52923840284348,-0.33925929665565,-0.24029912054539,-3.08133769035339,-2.84910011291504,-2.80600428581238,-0.03543018549681,-0.01404990069568,-0.00794124789536,-0.10125091671944,-0.07987063378096,0.02397646009922,0.16519992053509,0.29448682069778,0.38786068558693,9.86441040039062,9.89314079284668,9.59386539459228,-0.05703954398632,-0.07414376735687,-0.15477798879147,-2.67192912101746,-2.80600428581238,-3.12203907966614,0.02321287989616,0.08979719132185,0.19853121042252,0.03985895588994,-0.08842274546623,-0.39935314655304,-0.39264908432961,-0.39264908432961,-4.05338335037231,8.5811185836792,8.5811185836792,9.21079349517822,0.61979913711548,4.0290379524231,9.59707450866699,-19.3122291564941,-30.4886627197266,-25.8726406097412,-1.56625843048096,-3.82279467582703,-3.24858140945435,3.89014267921448,6.22486972808838,2.38374900817871,-37.5734062194824,-37.7721214294434,-31.6522445678711,15.6514949798584,15.6371297836304,9.78300762176514,15.9567928314209,13.3984889984131,9.78094482421875,20.7295970916748,25.1519870758057,25.2309951782227,-1.87413454055786,-0.94684112071991,-0.41966441273689,-0.55390208959579,-1.52151262760162,-0.7994698882103,-2.72938990592957,-0.11013327538967,0.13407529890537,12.7039337158203,12.9170169830322,11.4661312103271,-0.07292203605175,-1.24150729179382,-1.93361759185791,9.85483360290527,5.80384397506714,2.39420175552368,-0.11789698898792,-0.18814650177956,-0.1795943826437,0.43936482071877,0.49739703536034,0.48151454329491,-0.07422025501728,0.17477671802044,0.50996494293213,9.29458999633789,9.61301898956299,9.72315216064453,SWING_LEFT
-2.6067910194397,-2.12848353385925,-2.0368537902832,-2.80839848518372,-1.59214413166046,-1.28568625450134,-0.14355333149433,-0.05925392732024,0.05681046843529,0.37644571065903,0.51389038562775,0.53588151931763,-0.03830722719431,-0.6224924325943,-1.33835875988007,10.065523147583,10.2474822998047,9.94102478027344,-1.96049559116364,-1.61291337013245,-1.16575992107391,-4.30477476119995,-5.35852289199829,-6.50295114517212,0.41172316670418,0.47403141856194,0.45326200127602,0.30619621276855,0.10522153973579,-0.31688633561134,-4.25689077377319,-7.13502025604248,-12.7326641082764,9.04559326171875,8.99052619934082,10.3169145584106,5.2770357131958,10.2800216674805,14.5090417861938,-26.7082176208496,-20.5715789794922,-6.63702630996704,-1.33535146713257,-2.88878178596497,-2.24370813369751,3.4081699848175,3.15099573135376,0.84253591299057,-38.9141578674316,-27.426477432251,-17.5596733093262,11.1453084945679,10.9346179962158,10.0583410263062,12.3563528060913,9.0381326675415,6.09987115859985,23.4206790924072,22.1182346343994,19.5971393585205,-0.68172562122345,-0.41599923372269,-0.21502456068993,-1.30587720870972,-0.85689121484756,-0.73655074834824,-1.81001651287079,-1.09654438495636,-0.84275901317596,12.3663511276245,11.3009309768677,10.7670240402222,-0.52923840284348,-1.11933422088623,-1.38872575759888,6.32817459106445,3.94564437866211,1.77649760246277,0.12278391420841,0.11789698898792,0.0421497002244,0.33124166727066,0.32879820466042,0.40698897838593,-0.53390699625015,-0.55784898996353,-0.40701428055763,9.30656147003174,9.12939071655273,8.98813247680664,SWING_LEFT
-4.14739322662354,-4.07470035552979,-4.18160152435303,-1.41976165771484,-0.6224924325943,-1.83395850658417,0.08796459436417,-0.19181168079376,-0.35369098186493,-0.20509800314903,-0.6094908118248,-0.45799621939659,-2.58813214302063,-2.66953492164612,-2.74614930152893,7.66892719268799,8.8756046295166,10.1469259262085,-1.74302756786346,-0.87376636266708,-0.25007295608521,-5.82539224624634,-5.27472543716431,-4.86262369155884,-0.10384709388018,-0.15332718193531,-0.27916541695595,-0.24846944212914,-0.20998492836952,-0.12018773704767,-3.74453139305115,-5.68413400650024,-8.46140766143799,10.036792755127,10.391134262085,11.9425773620605,3.47070717811584,6.70340633392334,10.7980356216431,-16.4176387786865,-17.6506538391113,-12.5578870773315,-0.14660765230656,-0.4416555762291,-0.59681534767151,3.8437168598175,4.47351884841919,2.98606204986572,-32.3561401367188,-27.8909530639648,-26.5669593811035,15.2971534729004,13.7238636016846,7.20445203781128,14.9946804046631,12.5115127563477,8.95139026641846,18.019359588623,22.4582099914551,22.4270858764648,-1.20157194137573,-1.0256427526474,-1.16919612884521,-1.72004377841949,-1.60092508792877,-1.01082921028137,-1.31681096553802,-0.83557641506195,-0.91697925329208,11.2147397994995,10.4102878570557,10.1948099136353,-0.10713049024343,-0.89148145914078,-1.62207627296448,10.1086187362671,7.23797082901001,4.31195735931396,-0.28405234217644,0.03054326213896,0.17165313661098,0.15836681425571,0.37644571065903,0.53221637010574,-0.59855043888092,-0.63685762882233,-0.5434837937355,11.0974245071411,10.25705909729,9.40951156616211,SWING_LEFT
-2.43086194992065,-1.07901704311371,-0.73571085929871,-4.46279191970825,-3.30639243125916,-2.90177249908447,-0.3072652220726,-0.30237829685211,-0.22113321721554,0.26771169900894,0.20601430535316,0.10644327104092,-1.39821374416351,-0.88824880123138,-0.91219085454941,9.68245124816894,10.0032739639282,10.312126159668,-0.32582023739815,-0.14439326524734,-0.01916589774191,-3.52187061309814,-3.73734879493713,-4.18985319137573,0.45387288928032,0.51373767852783,0.60842180252075,-0.62964934110641,-0.7683157324791,-0.85261517763138,-2.84191751480103,-4.5418004989624,-7.72159957885742,9.30177307128906,9.63935565948486,11.6600618362427,3.09074902534485,6.58673095703125,10.9904584884644,-17.4016571044922,-19.6857242584229,-13.1995334625244,1.01159286499023,0.46425759792328,0.22785273194313,2.49553728103638,4.63234376907349,3.03615307807922,-33.7136535644531,-30.9627151489258,-28.5685119628906,15.8502140045166,13.3647327423096,5.98819780349731,14.8578462600708,11.8389501571655,8.34296798706055,23.0423965454102,25.5877323150635,23.7582626342773,-0.36468654870987,-0.17470745742321,-0.05131268128753,-1.66384422779083,-1.1745411157608,-0.39324450492859,-3.03584766387939,-1.53707754611969,-0.06464344263077,10.9944734573364,11.2291049957275,11.2075576782227,-0.70028066635132,-1.62635231018066,-2.15108561515808,9.63696098327637,6.19409894943237,3.23935484886169,0.40133845806122,0.26572638750076,0.07024950534105,0.50106221437454,0.51755559444427,0.46318855881691,0.47405192255974,0.63206923007965,1.07020819187164,8.46619606018066,8.1022777557373,8.40394687652588,SWING_LEFT
-3.75888299942017,-3.19383263587952,-2.40887069702148,-4.24970817565918,-5.08079528808594,-4.97305631637573,0.06719517707825,-0.17287486791611,-0.32192599773407,-0.75182241201401,-0.1745547503233,0.24022275209427,-2.26970314979553,-1.72382521629334,-1.58256733417511,10.1110134124756,9.90989971160889,9.48852062225342,-0.91347259283066,-0.54695343971252,-0.20242546498775,-3.92170238494873,-4.07732534408569,-3.87860679626465,0.02626720629632,0.00305432616733,0.06047565862536,0.05268712714314,-0.01817324012518,-0.11591167747974,-2.23857855796814,-3.04063606262207,-5.75595998764038,9.30656147003174,9.45979022979736,9.52203941345215,1.98813724517822,3.76453351974487,7.38085556030273,-13.3407907485962,-19.4319400787354,-19.42236328125,0.46425759792328,-0.00244346098043,0.55466562509537,0.0044287731871,1.60367393493652,2.0789270401001,-29.2197360992432,-30.2181167602539,-28.494291305542,13.175591468811,15.4886894226074,11.8061075210571,15.8040761947632,14.3569364547729,11.6031560897827,16.0824508666992,21.440673828125,25.1041030883789,-1.0867292881012,-1.00548422336578,-0.89491760730743,-1.26800358295441,-1.3645201921463,-1.44698703289032,-2.89458990097046,-1.26892685890198,-1.10372698307037,10.1277723312378,10.0224275588989,10.7335052490234,0.17020232975483,-0.93851810693741,-1.57198536396027,10.9226474761963,7.41993045806885,4.1659107208252,-0.11667526513338,-0.02565634064376,0.02321287989616,0.18768835067749,0.37766742706299,0.37522396445274,-1.17076468467712,-0.78769236803055,-0.36631286144257,9.8668041229248,9.56752967834473,9.41429996490478,SWING_LEFT
-2.16513562202454,-2.07778167724609,-1.92140030860901,-2.50194072723389,-2.67432332038879,-2.95444488525391,-0.33658674359322,-0.44837507605553,-0.49907690286636,0.4772384762764,0.32391130924225,0.37888917326927,-2.03746557235718,-1.97521638870239,-1.72621941566467,8.84926891326904,9.43345355987549,9.93863010406494,-0.89025974273682,-0.69966977834702,-0.54206657409668,-3.68228220939636,-3.96240377426147,-4.40054273605347,0.1490511149168,0.35185837745667,0.583376288414,-0.23564127087593,-0.43295073509216,-1.01571619510651,-3.05978965759277,-4.79798030853271,-9.18206310272217,9.65372085571289,9.37599277496338,9.68245124816894,2.84273767471313,5.88057041168213,8.75346946716309,-16.8509902954102,-19.1230869293213,-15.500659942627,1.12887895107269,0.04581489413977,-1.34573614597321,1.03129327297211,3.8314995765686,4.85103368759155,-28.9491901397705,-25.1256504058838,-22.4486331939697,11.8204727172852,10.858003616333,8.15255641937256,14.0368432998657,12.0704679489136,9.9361047744751,15.3187007904053,16.9395751953125,17.8900737762451,-1.79288947582245,-1.38971841335297,-1.11299645900726,-1.61497497558594,-1.74814367294312,-1.8868100643158,-4.93235492706299,-2.69108271598816,-1.21625447273254,12.1987571716309,11.7654066085815,12.4932441711426,0.98143136501312,-0.44616070389748,-1.40583002567291,11.1093950271606,8.39676475524902,5.11431407928467,0.42149701714516,0.61514127254486,0.6450737118721,0.0093156946823,0.34468072652817,0.49678614735603,-0.62488663196564,-0.55784898996353,-0.35434186458588,10.8915224075317,9.68245124816894,8.81575012207031,SWING_LEFT
-3.1358003616333,-2.84747195243835,-2.3978750705719,-3.3231520652771,-3.6152446269989,-3.50271701812744,-0.51434850692749,-0.24740041792393,-0.23457226157188,0.31597003340721,-0.10613783448935,0.15531249344349,-2.49236392974854,-1.92254400253296,-2.06619596481323,9.81413173675537,10.2857894897461,10.587459564209,-0.95928752422333,-0.53351444005966,0.04069889709353,-4.84586429595947,-5.57878923416138,-6.16776275634766,0.1148426681757,0.16493362188339,0.35185837745667,-0.02794708497822,-0.26618453860283,-0.92714071273804,-4.58729028701782,-6.23240613937378,-9.22515869140625,9.38556957244873,9.38556957244873,10.5515460968018,4.12066793441772,6.87872457504272,11.0869750976563,-15.366584777832,-19.2380084991455,-14.7680349349976,1.54976511001587,-0.17654006183147,-1.3011429309845,1.3434454202652,4.0281982421875,3.35563540458679,-33.3856468200684,-29.6195678710938,-23.114221572876,9.1940336227417,9.69921016693115,8.49492645263672,14.3434972763062,10.822470664978,6.99967575073242,21.5412311553955,24.5124359130859,22.0847148895264,-0.53267449140549,-0.35246923565865,-0.23640485107899,-1.0877982378006,-0.74937891960144,-0.48976120352745,-2.65995812416077,-2.5091233253479,-2.37983655929565,13.0343332290649,12.0335569381714,11.5523223876953,-1.08573663234711,-1.40521919727325,-1.58542442321777,5.83496904373169,3.07415509223938,1.00556468963623,0.48197266459465,0.41172316670418,0.27488934993744,0.13515393435955,0.22006420791149,0.39660426974297,-1.06781399250031,-0.76135611534119,0.1268926858902,8.96419048309326,8.73434734344482,8.33690929412842,SWING_LEFT
-1.89330041408539,-1.55915713310242,-1.43637323379517,-4.45082092285156,-3.56017804145813,-3.06218385696411,-0.5412266254425,-0.53817230463028,-0.31093040108681,0.58475077152252,0.42042800784111,-0.09025534242392,-1.93930339813232,-1.92972660064697,-1.92972660064697,9.02643966674805,9.18206310272217,9.18206310272217,-0.65813094377518,-0.37163513898849,0.00832303892821,-4.73812532424927,-5.3058500289917,-6.32338619232178,-0.0274889357388,0.00977384392172,0.2315179258585,-0.50075680017471,-1.00960755348206,-1.49585628509521,-6.21085834503174,-8.83250904083252,-13.4221935272217,8.59308910369873,9.3712043762207,10.4701433181763,6.22815275192261,10.3588237762451,13.5353231430054,-20.0376720428467,-14.5809879302979,-14.5809879302979,-3.28034639358521,-1.59619092941284,-0.17837265133858,2.90726041793823,0.16386459767818,-1.30404460430145,-28.8127212524414,-21.6226348876953,-18.8142356872559,14.8159189224243,13.3336086273193,10.3504333496094,12.8187780380249,10.4736661911011,7.63986253738403,16.4583415985107,18.9674644470215,19.7503681182861,-0.33108896017075,-0.48319441080093,-0.49235737323761,-2.27898550033569,-1.71149170398712,-1.50074315071106,1.24019646644592,1.41736745834351,0.77572137117386,11.4972562789917,10.3743753433228,10.2067813873291,-0.52068626880646,-0.90125530958176,-1.03686738014221,5.44471406936646,3.19147086143494,1.62566292285919,-0.03115412779152,-0.06352998316288,-0.21930062770844,0.11133018881083,0.13026700913906,0.05207626149058,0.62488663196564,0.8451532125473,0.94092124700546,8.64815616607666,8.15255641937256,8.46380233764648,SWING_LEFT
-3.48888039588928,-3.04050540924072,-2.78394198417664,-3.51468801498413,-3.25611424446106,-3.11725068092346,-0.08124507963657,-0.16982053220272,-0.06780604273081,0.3300199508667,0.15836681425571,0.39660426974297,-1.84353530406952,-1.79325711727142,-1.79325711727142,7.85328102111816,9.45500183105469,9.45500183105469,-1.37956285476685,-0.85971647500992,-0.47487136721611,-6.18452215194702,-6.26831912994385,-6.65139150619507,-0.22418753802776,0.12095131725073,0.27916541695595,0.09239336848259,-0.47571131587029,-1.24723410606384,-3.77565598487854,-6.52928733825684,-10.228328704834,8.67209815979004,8.54281139373779,8.46380233764648,4.32042074203491,8.16887187957764,11.0405492782593,-23.9665584564209,-23.7199554443359,-16.2284984588623,-2.87351012229919,-3.95657420158386,-4.03293228149414,1.22127234935761,1.80587041378021,2.40268564224243,-33.7447776794434,-30.5724601745605,-21.2395610809326,8.29141998291016,13.8387851715088,17.473482131958,12.935453414917,10.0704956054688,7.24157857894897,20.1741428375244,19.6546001434326,17.0975933074951,-1.08978354930878,-0.96211278438568,-0.9950994849205,-1.50990617275238,-1.71943295001984,-1.73592627048492,-4.75009632110596,-3.49792861938477,-2.62883353233337,11.6816091537476,11.0112333297729,11.3607864379883,0.65217500925064,0.26183211803436,0.00893390458077,5.08797788619995,3.19625926017761,2.44447994232178,0.12034045159817,0.16065755486488,0.13683381676674,0.19624045491219,0.3208569586277,0.26954430341721,0.24181437492371,0.42616790533066,0.49799394607544,10.0966482162476,9.36162757873535,9.01446914672852,SWING_LEFT
-1.05946946144104,-0.8817076086998,-0.73326736688614,-4.73333692550659,-4.56334829330444,-4.64953947067261,-0.0226020142436,-0.01588249579072,0.06414084881544,-0.12935072183609,-0.22892175614834,-0.31016683578491,-0.4955997467041,-0.5746083855629,-0.94810384511948,9.095871925354,9.31613826751709,9.31374359130859,-0.2806162238121,0.02115120925009,0.5238932967186,-6.84292793273926,-8.28902530670166,-9.90032291412354,-0.54550266265869,-0.83138757944107,-1.12948977947235,-0.1782199293375,-0.39874228835106,-0.85200428962708,-5.89482402801514,-9.91708278656006,-15.0673093795776,7.42232465744019,7.67850399017334,6.73518848419189,8.63984870910645,12.0808525085449,14.0490608215332,-19.7168502807617,-11.9306058883667,-2.6240451335907,-3.33960032463074,-2.49782800674438,-1.18141341209412,1.37704300880432,1.23715484142303,0.1394299864769,-27.3690166473389,-21.9410629272461,-14.849437713623,15.1175880432129,16.2452564239502,15.0146369934082,10.659369468689,7.35703182220459,4.37417697906494,21.4430694580078,19.8197994232178,17.2220916748047,-0.15332718193531,-0.10262536257505,0.0274889357388,-1.39200913906097,-1.07863533496857,-0.91919946670532,-0.66319388151169,-0.69671267271042,-0.73980832099915,12.4429655075073,11.3966989517212,10.927435874939,-1.30809152126312,-1.40460824966431,-1.40949523448944,2.20266556739807,0.78290396928787,0.05985504388809,0.20463985204697,-0.01527163106948,-0.30787608027458,0.3428481221199,0.25121831893921,0.07651086896658,1.07739078998566,1.1180921792984,1.03190088272095,7.62583160400391,7.30022048950195,7.53006362915039,SWING_LEFT
